explained_variance,fps,nupdates,policy_entropy,policy_loss,total_timesteps,value_loss
5.960464477539063e-08,260,88,1.7769486904144287,0.2860497534275055,14080,0.7408628463745117
0.0,261,89,1.7761542797088623,0.5447067022323608,14240,0.9669278860092163
0.0,261,90,1.7751798629760742,-0.4568735957145691,14400,0.5954287648200989
0.0,262,91,1.7741426229476929,0.10452759265899658,14560,0.4415516257286072
0.0,262,92,1.7729885578155518,-0.33022791147232056,14720,0.31617140769958496
0.0,262,93,1.7718753814697266,-0.0065997326746582985,14880,0.42059236764907837
-1.1920928955078125e-07,263,94,1.7706871032714844,-0.051852524280548096,15040,0.4333750307559967
0.0,263,95,1.7696090936660767,-0.570313036441803,15200,0.40504202246665955
0.0,264,96,1.7682956457138062,-0.4446350038051605,15360,0.23058894276618958
0.0,264,97,1.766906976699829,-0.2494434416294098,15520,0.191580131649971
0.0,264,98,1.7654250860214233,-0.1409345120191574,15680,0.10133354365825653
0.0,265,99,1.7641496658325195,-0.47375115752220154,15840,0.3499463200569153
0.0,265,100,1.7628093957901,-0.6133091449737549,16000,0.32840225100517273
0.0,265,101,1.7618224620819092,-0.23739692568778992,16160,0.01975364051759243
0.0,266,102,1.7609102725982666,-0.09135491400957108,16320,0.6350237131118774
0.0,266,103,1.760043740272522,0.0768236294388771,16480,0.6191291809082031
5.960464477539063e-08,266,104,1.7591826915740967,-0.327715665102005,16640,0.21712461113929749
0.0,267,105,1.758056640625,0.0818265751004219,16800,0.23802682757377625
0.0,267,106,1.7568336725234985,-0.25525274872779846,16960,0.524516224861145
0.0,267,107,1.7560045719146729,0.19887466728687286,17120,0.3145744204521179
-1.1920928955078125e-07,268,108,1.7551838159561157,0.07738985121250153,17280,0.7190706133842468
0.0,268,109,1.7540390491485596,-0.1466698795557022,17440,0.11586499214172363
0.0,268,110,1.7528547048568726,-0.009276450611650944,17600,0.22436635196208954
1.1920928955078125e-07,268,111,1.751591682434082,-0.027316981926560402,17760,0.31699928641319275
0.0,269,112,1.750662088394165,-0.37199148535728455,17920,0.17435398697853088
0.0,269,113,1.7500518560409546,-0.1278117150068283,18080,0.193354994058609
0.0,269,114,1.7496227025985718,-0.6842774748802185,18240,0.3757798671722412
-1.1920928955078125e-07,270,115,1.7493137121200562,-0.5615575313568115,18400,0.7104328870773315
